date,nav,ret
2009-06-24,1.0,0.0
2009-06-26,1.0,0.0
2009-06-30,1.0,0.0
2009-07-03,1.0,0.0
2009-07-10,1.0,0.0
2009-07-17,1.0,0.0
2009-07-24,1.0,0.0
2009-07-27,1.0,0.0
2009-07-28,1.0,0.0
2009-07-29,1.0,0.0
2009-07-30,1.0,0.0
2009-07-31,1.0,0.0
2009-08-03,1.0,0.0
2009-08-04,1.0,0.0
2009-08-05,1.001,0.001
2009-08-06,1.001,0.0
2009-08-07,1.001,0.0
2009-08-10,1.001,0.0
2009-08-11,1.001,0.0
2009-08-12,1.001,0.0
2009-08-13,1.001,0.0
2009-08-14,1.001,0.0
2009-08-17,1.001,0.0
2009-08-18,1.001,0.0
2009-08-19,1.001,0.0
2009-08-20,1.001,0.0
2009-08-21,1.001,0.0
2009-08-24,1.001,0.0
2009-08-25,1.001,0.0
2009-08-26,1.001,0.0
2009-08-27,1.001,0.0
2009-08-28,1.001,0.0
2009-08-31,1.001,0.0
2009-09-01,1.001,0.0
2009-09-02,1.001,0.0
2009-09-03,1.001,0.0
2009-09-04,1.001,0.0
2009-09-07,1.001,0.0
2009-09-08,1.001,0.0
2009-09-09,1.001,0.0
2009-09-10,1.002,0.000999
2009-09-11,1.002,0.0
2009-09-14,1.002,0.0
2009-09-15,1.002,0.0
2009-09-16,1.002,0.0
2009-09-17,1.002,0.0
2009-09-18,1.002,0.0
2009-09-21,1.002,0.0
2009-09-22,1.002,0.0
2009-09-23,1.002,0.0
2009-09-24,1.002,0.0
2009-09-25,1.002,0.0
2009-09-28,1.002,0.0
2009-09-29,1.002,0.0
2009-09-30,1.002,0.0
2009-10-09,1.002,0.0
2009-10-12,1.002,0.0
2009-10-13,1.002,0.0
2009-10-14,1.002,0.0
2009-10-15,1.002,0.0
2009-10-16,1.002,0.0
2009-10-19,1.002,0.0
2009-10-20,1.002,0.0
2009-10-21,1.002,0.0
2009-10-22,1.002,0.0
2009-10-23,1.003,0.000998
2009-10-26,1.003,0.0
2009-10-27,1.003,0.0
2009-10-28,1.003,0.0
2009-10-29,1.003,0.0
2009-10-30,1.003,0.0
2009-11-02,1.003,0.0
2009-11-03,1.003,0.0
2009-11-04,1.003,0.0
2009-11-05,1.003,0.0
2009-11-06,1.003,0.0
2009-11-09,1.003,0.0
2009-11-10,1.003,0.0
2009-11-11,1.003,0.0
2009-11-12,1.004,0.000997
2009-11-13,1.005,0.000996
2009-11-16,1.005,0.0
2009-11-17,1.005,0.0
2009-11-18,1.005,0.0
2009-11-19,1.005,0.0
2009-11-20,1.006,0.000995
2009-11-23,1.006,0.0
2009-11-24,1.006,0.0
2009-11-25,1.006,0.0
2009-11-26,1.006,0.0
2009-11-27,1.006,0.0
2009-11-30,1.007,0.000994
2009-12-01,1.008,0.000993
2009-12-02,1.008,0.0
2009-12-03,1.008,0.0
2009-12-04,1.008,0.0
2009-12-07,1.009,0.000992
2009-12-08,1.008,-0.000991
2009-12-09,1.008,0.0
2009-12-10,1.008,0.0
2009-12-11,1.009,0.000992
2009-12-14,1.009,0.0
2009-12-15,1.009,0.0
2009-12-16,1.009,0.0
2009-12-17,1.008,-0.000991
2009-12-18,1.008,0.0
2009-12-21,1.008,0.0
2009-12-22,1.008,0.0
2009-12-23,1.008,0.0
2009-12-24,1.008,0.0
2009-12-25,1.008,0.0
2009-12-28,1.008,0.0
2009-12-29,1.009,0.000992
2009-12-30,1.009,0.0
2009-12-31,1.009,0.0
2010-01-04,1.009,0.0
2010-01-05,1.009,0.0
2010-01-06,1.01,0.000991
2010-01-07,1.009,-0.00099
2010-01-08,1.01,0.000991
2010-01-11,1.01,0.0
2010-01-12,1.011,0.00099
2010-01-13,1.011,0.0
2010-01-14,1.011,0.0
2010-01-15,1.012,0.000989
2010-01-18,1.012,0.0
2010-01-19,1.012,0.0
2010-01-20,1.012,0.0
2010-01-21,1.012,0.0
2010-01-22,1.013,0.000988
2010-01-25,1.013,0.0
2010-01-26,1.013,0.0
2010-01-27,1.013,0.0
2010-01-28,1.014,0.000987
2010-01-29,1.014,0.0
2010-02-01,1.015,0.000986
2010-02-02,1.015,0.0
2010-02-03,1.014,-0.000985
2010-02-04,1.015,0.000986
2010-02-05,1.015,0.0
2010-02-08,1.016,0.000985
2010-02-09,1.016,0.0
2010-02-10,1.016,0.0
2010-02-11,1.016,0.0
2010-02-12,1.016,0.0
2010-02-22,1.016,0.0
2010-02-23,1.016,0.0
2010-02-24,1.016,0.0
2010-02-25,1.016,0.0
2010-02-26,1.016,0.0
2010-03-01,1.017,0.000984
2010-03-02,1.018,0.000983
2010-03-03,1.018,0.0
2010-03-04,1.018,0.0
2010-03-05,1.018,0.0
2010-03-08,1.018,0.0
2010-03-09,1.018,0.0
2010-03-10,1.018,0.0
2010-03-11,1.018,0.0
2010-03-12,1.018,0.0
2010-03-15,1.018,0.0
2010-03-16,1.018,0.0
2010-03-17,1.018,0.0
2010-03-18,1.019,0.000982
2010-03-19,1.019,0.0
2010-03-22,1.019,0.0
2010-03-23,1.019,0.0
2010-03-24,1.02,0.000981
2010-03-25,1.02,0.0
2010-03-26,1.021,0.00098
2010-03-29,1.02,-0.000979
2010-03-30,1.02,0.0
2010-03-31,1.02,0.0
2010-04-01,1.02,0.0
2010-04-02,1.02,0.0
2010-04-06,1.02,0.0
2010-04-07,1.02,0.0
2010-04-08,1.02,0.0
2010-04-09,1.02,0.0
2010-04-12,1.02,0.0
2010-04-13,1.02,0.0
2010-04-14,1.02,0.0
2010-04-15,1.02,0.0
2010-04-16,1.021,0.00098
2010-04-19,1.022,0.000979
2010-04-20,1.022,0.0
2010-04-21,1.022,0.0
2010-04-22,1.022,0.0
2010-04-23,1.023,0.000978
2010-04-26,1.023,0.0
2010-04-27,1.023,0.0
2010-04-28,1.023,0.0
2010-04-29,1.023,0.0
