date,nav,ret
2017-01-13,1.0,0.0
2017-01-20,1.001,0.0
2017-01-26,1.001,0.0
2017-02-03,1.002,0.000999
2017-02-10,1.002,0.0
2017-02-17,1.003,0.0
2017-02-24,1.003,0.0
2017-03-03,1.004,0.0
2017-03-10,1.005,0.0
2017-03-17,1.005,0.0
2017-03-24,1.006,0.0
2017-03-28,1.006,0.0
2017-03-29,1.006,0.0
2017-03-30,1.006,0.0
2017-03-31,1.007,0.000994
2017-04-05,1.007,0.0
2017-04-06,1.008,0.000993
2017-04-07,1.008,0.0
2017-04-10,1.008,0.0
2017-04-11,1.008,0.0
2017-04-12,1.008,0.0
2017-04-13,1.008,0.0
2017-04-14,1.008,0.0
2017-04-17,1.008,0.0
2017-04-18,1.008,0.0
2017-04-19,1.008,0.0
2017-04-20,1.009,0.000992
2017-04-21,1.009,0.0
2017-04-24,1.009,0.0
2017-04-25,1.009,0.0
2017-04-26,1.009,0.0
2017-04-27,1.009,0.0
2017-04-28,1.009,0.0
2017-05-02,1.01,0.000991
2017-05-03,1.01,0.0
2017-05-04,1.01,0.0
2017-05-05,1.01,0.0
2017-05-08,1.01,0.0
2017-05-09,1.01,0.0
2017-05-10,1.01,0.0
2017-05-11,1.01,0.0
2017-05-12,1.01,0.0
2017-05-15,1.011,0.00099
2017-05-16,1.01,-0.000989
2017-05-17,1.011,0.00099
2017-05-18,1.011,0.0
2017-05-19,1.011,0.0
2017-05-22,1.011,0.0
2017-05-23,1.011,0.0
2017-05-24,1.011,0.0
2017-05-25,1.011,0.0
2017-05-26,1.012,0.000989
2017-05-31,1.012,0.0
2017-06-01,1.012,0.0
2017-06-02,1.012,0.0
2017-06-05,1.013,0.000988
2017-06-06,1.013,0.0
2017-06-07,1.013,0.0
2017-06-08,1.013,0.0
2017-06-09,1.013,0.0
2017-06-12,1.013,0.0
2017-06-13,1.013,0.0
2017-06-14,1.013,0.0
2017-06-15,1.013,0.0
2017-06-16,1.014,0.000987
2017-06-19,1.014,0.0
2017-06-20,1.015,0.000986
2017-06-21,1.015,0.0
2017-06-22,1.015,0.0
2017-06-23,1.015,0.0
2017-06-26,1.017,0.00197
2017-06-27,1.018,0.000983
2017-06-28,1.018,0.0
2017-06-29,1.019,0.000982
2017-06-30,1.019,0.0
2017-07-03,1.019,0.0
2017-07-04,1.02,0.000981
2017-07-05,1.02,0.0
2017-07-06,1.02,0.0
2017-07-07,1.02,0.0
2017-07-10,1.021,0.00098
2017-07-11,1.021,0.0
2017-07-12,1.021,0.0
2017-07-13,1.021,0.0
2017-07-14,1.022,0.000979
2017-07-17,1.022,0.0
2017-07-18,1.022,0.0
2017-07-19,1.022,0.0
2017-07-20,1.022,0.0
2017-07-21,1.022,0.0
2017-07-24,1.022,0.0
2017-07-25,1.022,0.0
2017-07-26,1.022,0.0
2017-07-27,1.022,0.0
2017-07-28,1.022,0.0
2017-07-31,1.022,0.0
2017-08-01,1.022,0.0
2017-08-02,1.022,0.0
2017-08-03,1.022,0.0
2017-08-04,1.022,0.0
2017-08-07,1.022,0.0
2017-08-08,1.022,0.0
2017-08-09,1.023,0.000978
2017-08-10,1.023,0.0
2017-08-11,1.023,0.0
2017-08-14,1.024,0.000978
2017-08-15,1.024,0.0
2017-08-16,1.024,0.0
2017-08-17,1.024,0.0
2017-08-18,1.024,0.0
2017-08-21,1.024,0.0
2017-08-22,1.024,0.0
2017-08-23,1.024,0.0
2017-08-24,1.024,0.0
2017-08-25,1.024,0.0
2017-08-28,1.024,0.0
2017-08-29,1.023,-0.000977
2017-08-30,1.023,0.0
2017-08-31,1.023,0.0
2017-09-01,1.023,0.0
2017-09-04,1.024,0.000978
2017-09-05,1.024,0.0
2017-09-06,1.024,0.0
2017-09-07,1.025,0.000977
2017-09-08,1.025,0.0
2017-09-11,1.026,0.0009760000000000001
2017-09-12,1.026,0.0
2017-09-13,1.027,0.0009750000000000001
2017-09-14,1.027,0.0
2017-09-15,1.028,0.000974
2017-09-18,1.029,0.000973
2017-09-19,1.029,0.0
2017-09-20,1.029,0.0
2017-09-21,1.029,0.0
2017-09-22,1.029,0.0
2017-09-25,1.029,0.0
2017-09-26,1.029,0.0
2017-09-27,1.03,0.000972
2017-09-28,1.03,0.0
2017-09-29,1.03,0.0
2017-10-09,1.031,0.0009710000000000001
2017-10-10,1.031,0.0
2017-10-11,1.031,0.0
2017-10-12,1.031,0.0
2017-10-13,1.032,0.00097
2017-10-16,1.032,0.0
2017-10-17,1.032,0.0
2017-10-18,1.032,0.0
2017-10-19,1.032,0.0
2017-10-20,1.032,0.0
2017-10-23,1.033,0.000969
2017-10-24,1.032,-0.000968
2017-10-25,1.033,0.000969
2017-10-26,1.033,0.0
2017-10-27,1.033,0.0
2017-10-30,1.032,-0.000968
2017-10-31,1.032,0.0
2017-11-01,1.032,0.0
2017-11-02,1.032,0.0
2017-11-03,1.032,0.0
2017-11-06,1.033,0.000969
2017-11-07,1.033,0.0
2017-11-08,1.032,-0.000968
2017-11-09,1.033,0.000969
2017-11-10,1.033,0.0
2017-11-13,1.033,0.0
2017-11-14,1.032,-0.000968
2017-11-15,1.032,0.0
2017-11-16,1.033,0.000969
2017-11-17,1.032,-0.000968
2017-11-20,1.032,0.0
2017-11-21,1.032,0.0
2017-11-22,1.03,-0.001938
2017-11-23,1.028,-0.0019420000000000001
2017-11-24,1.027,-0.000973
2017-11-27,1.027,0.0
2017-11-28,1.028,0.000974
2017-11-29,1.028,0.0
2017-11-30,1.027,-0.000973
2017-12-01,1.028,0.000974
2017-12-04,1.03,0.001946
2017-12-05,1.03,0.0
2017-12-06,1.031,0.0009710000000000001
2017-12-07,1.031,0.0
2017-12-08,1.032,0.00097
2017-12-11,1.033,0.000969
2017-12-12,1.032,-0.000968
2017-12-13,1.033,0.000969
2017-12-14,1.033,0.0
2017-12-15,1.033,0.0
2017-12-18,1.033,0.0
2017-12-19,1.035,0.001936
2017-12-20,1.036,0.0009660000000000001
2017-12-21,1.036,0.0
2017-12-22,1.035,-0.000965
