date,nav,ret
2023-03-09,0.917,0.0
2023-03-10,0.915,-0.0022
2023-03-13,0.916,0.0011
2023-03-14,0.915,-0.0011
2023-03-15,0.915,0.0
2023-03-16,0.912,-0.0033
2023-03-17,0.913,0.0011
2023-03-20,0.913,0.0
2023-03-21,0.915,0.0022
2023-03-22,0.917,0.0022
2023-03-23,0.918,0.0011
2023-03-24,0.916,-0.0022
2023-03-27,0.915,-0.0011
2023-03-28,0.915,0.0
2023-03-29,0.914,-0.0011
2023-03-30,0.914,0.0
2023-03-31,0.916,0.0022
2023-04-03,0.916,0.0
2023-04-04,0.917,0.0011
2023-04-06,0.918,0.0011
2023-04-07,0.921,0.0033
2023-04-10,0.918,-0.0033
2023-04-11,0.919,0.0011
2023-04-12,0.921,0.0022
2023-04-13,0.919,-0.0022
2023-04-14,0.921,0.0022
2023-04-17,0.923,0.0022
2023-04-18,0.923,0.0
2023-04-19,0.921,-0.0022
2023-04-20,0.922,0.0011
2023-04-21,0.918,-0.0043
2023-04-24,0.917,-0.0011
2023-04-25,0.915,-0.0022
2023-04-26,0.914,-0.0011
2023-04-27,0.914,0.0
2023-04-28,0.917,0.0033
2023-05-04,0.917,0.0
2023-05-05,0.915,-0.0022
2023-05-08,0.916,0.0011
2023-05-09,0.914,-0.0022
2023-05-10,0.913,-0.0011
2023-05-11,0.913,0.0
2023-05-12,0.911,-0.0022
2023-05-15,0.912,0.0011
2023-05-16,0.911,-0.0011
2023-05-17,0.911,0.0
2023-05-18,0.912,0.0011
2023-05-19,0.912,0.0
2023-05-22,0.914,0.0022
2023-05-23,0.912,-0.0022
2023-05-24,0.911,-0.0011
2023-05-25,0.91,-0.0011
2023-05-26,0.912,0.0022
2023-05-29,0.913,0.0011
2023-05-30,0.914,0.0011
2023-05-31,0.914,0.0
2023-06-01,0.915,0.0011
2023-06-02,0.916,0.0011
2023-06-05,0.917,0.0011
2023-06-06,0.915,-0.0022
2023-06-07,0.915,0.0
2023-06-08,0.915,0.0
2023-06-09,0.916,0.0011
2023-06-12,0.916,0.0
2023-06-13,0.918,0.0022
2023-06-14,0.919,0.0011
2023-06-15,0.919,0.0
2023-06-16,0.921,0.0022
2023-06-19,0.92,-0.0011
2023-06-20,0.921,0.0011
2023-06-21,0.917,-0.0043
2023-06-26,0.914,-0.0033
2023-06-27,0.916,0.0022
2023-06-28,0.916,0.0
2023-06-29,0.917,0.0011
2023-06-30,0.918,0.0011
2023-07-03,0.92,0.0022
2023-07-04,0.92,0.0
2023-07-05,0.919,-0.0011
2023-07-06,0.918,-0.0011
2023-07-07,0.919,0.0011
2023-07-10,0.919,0.0
2023-07-11,0.92,0.0011
2023-07-12,0.918,-0.0022
2023-07-13,0.92,0.0022
2023-07-14,0.921,0.0011
2023-07-17,0.92,-0.0011
2023-07-18,0.92,0.0
2023-07-19,0.92,0.0
2023-07-20,0.918,-0.0022
2023-07-21,0.917,-0.0011
2023-07-24,0.918,0.0011
2023-07-25,0.92,0.0022
2023-07-26,0.919,-0.0011
2023-07-27,0.918,-0.0011
2023-07-28,0.92,0.0022
2023-07-31,0.92,0.0
2023-08-01,0.92,0.0
2023-08-02,0.919,-0.0011
2023-08-03,0.919,0.0
2023-08-04,0.919,0.0
2023-08-07,0.917,-0.0022
2023-08-08,0.917,0.0
2023-08-09,0.915,-0.0022
2023-08-10,0.915,0.0
2023-08-11,0.912,-0.0033
2023-08-14,0.913,0.0011
2023-08-15,0.913,0.0
2023-08-16,0.913,0.0
2023-08-17,0.914,0.0011
2023-08-18,0.912,-0.0022
2023-08-21,0.911,-0.0011
2023-08-22,0.913,0.0022
2023-08-23,0.911,-0.0022
2023-08-24,0.912,0.0011
2023-08-25,0.91,-0.0022
2023-08-28,0.911,0.0011
2023-08-29,0.913,0.0022
2023-08-30,0.914,0.0011
2023-08-31,0.914,0.0
2023-09-01,0.915,0.0011
2023-09-04,0.917,0.0022
2023-09-05,0.916,-0.0011
2023-09-06,0.914,-0.0022
2023-09-07,0.911,-0.0033
2023-09-08,0.91,-0.0011
2023-09-11,0.911,0.0011
2023-09-12,0.912,0.0011
2023-09-13,0.911,-0.0011
2023-09-14,0.911,0.0
2023-09-15,0.911,0.0
2023-09-18,0.912,0.0011
2023-09-19,0.911,-0.0011
2023-09-20,0.911,0.0
2023-09-21,0.911,0.0
2023-09-22,0.913,0.0022
2023-09-25,0.913,0.0
